year,aea_energy_region,plant_name,total,ff-turbines,recip-ice,hydro,wind,utility-solar,batteries,flywheel,other,source,data_version
2021,Kodiak,Larsen Bay,0.475,0,0,0.475,0,0,0,0,,EIA860,Early Release
2021,Southeast,Lake Dorothy Hydroelectric Project,14.3,0,0,14.3,0,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Kwigillingok,1.798,0,1.028,0,0.475,0,0.295,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Kwethluk,1.1,0,1.1,0,0,0,0,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Koyukuk,0.138,0,0.138,0,0,0,0,0,,EIA860,Early Release
2021,Bering Straits,Koyuk,1.049,0,1.049,0,0,0,0,0,,EIA860,Early Release
2021,Northwest Arctic,Kotzebue,17.1,0,11.8,0,3.3,0.8,1.2,0,,AEA PH Assessment,Early Release
2021,Lower Yukon-Kuskokwim,Kotlik,1.39,0,1.39,0,0,0,0,,,No data,Early Release
2021,Lower Yukon-Kuskokwim,Kongiganak,2.62,0,1.85,0,0.475,0,0.295,,,No data,Early Release
2021,Bristol Bay,Koliganek,0.702,0,0.702,0,0,0,0,0,,EIA860,Early Release
2021,Bristol Bay,Kokhanok,0.772,0,0.582,0,0.19,0,0,,,No data,Early Release
2021,Kodiak,Kodiak Microgrid,18.3,0,18.3,0,0,0,0,0,,EIA860,Early Release
2021,Northwest Arctic,Kobuk,0.18,0,0.18,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Southeast,Klawock Power Generation Station,2.5,0,2.5,0,0,0,0,0,,EIA860,Early Release
2021,Northwest Arctic,Kivalina,1.1,0,1.1,0,0,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Kipnuk,1.98,0,1.41,0,0.57,0,0,0,,EIA860,Early Release
2021,Aleutians,King Cove,3,0,1.8,1.2,0,0,0,0,,EIA860,Early Release
2021,Northwest Arctic,Kiana,1.2,0,1.2,0,0,0,0,0,,EIA860,Early Release
2021,Southeast,Ketchikan,4.2,0,0,4.2,0,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Kasigluk,3.306,0,3.006,0,0.3,0,0,0,,AEA,Early Release
2021,Southeast,Kasidaya Creek Hydro,3,0,0,3,0,0,0,0,,AEA PH Assessment,Early Release
2021,Kodiak,Karluk,0.2,0,0.2,0,0,0,0,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Kaltag,0.7826,0,0.773,0,0,0.0096,0,0,,EIA860,Early Release
2021,North Slope,Kaktovik,2.6,0,2.6,0,0,0,0,0,,EIA860,Early Release
2021,Southeast,Kake,3.6,0,3.1,0.5,0,0,0,0,,EIA860,Early Release
2021,Railbelt,Juniper Creek Hydroelectric Project,0.3,0,0,0.3,0,0,0,0,,EIA860,Early Release
2021,Railbelt,JBER Landfill Gas Power Plant,11.5,0,11.5,0,0,0,0,0,,EIA-860,Early Release
2021,Southeast,Jarvis Street,25.6,0,25.6,0,0,0,0,0,,IES website,Early Release
2021,Railbelt,International,15,15,0,0,0,0,0,0,,DOE,Early Release
2021,Southeast,Industrial Plant,41.7,41.7,0,0,0,0,0,0,,EIA860,Early Release
2021,Bristol Bay,Igiugig,0.361,0,0.201,0,0,0,0.125,0,,EIA860,Early Release
2021,Southeast,Hydaburg,1.445,0,1.445,0,0,0,0,0,,0,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Huslia,0.796,0,0.796,0,0,0,0,0,,0,Early Release
2021,Copper River/Chugach,Humpback Creek,1.2,0,0,1.2,0,0,0,0,,AEA,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Hughes,0.748,0,0.378,0,0,0.12,0.25,0,,DOE,Early Release
2021,Lower Yukon-Kuskokwim,Hooper Bay,2.5,0,2.2,0,0.3,0,0,0,,EIA860,Early Release
2021,Southeast,Hoonah,2.45,0,2,0.45,0,0,0,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Holy Cross,0.64,0,0.64,0,0,0,0,0,,EIA860,Early Release
2021,Southeast,Hollis,0,0,0,0,0,0,0,0,,EIA860,Early Release
2021,Southeast,Hiilangaay Hydro,5,0,0,5,0,0,0,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Healy Lake,0.101,0,0.101,0,0,0,0,0,,EIA860,Early Release
2021,Railbelt,Healy,92.8,90,2.8,0,0,0,0,0,,AEA,Early Release
2021,Southeast,Haines,10.02,0,10.02,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Gwitchyaa Zhee,2.8,0,2.8,0,0,0,0,0,,AEA PH Assessment,Early Release
2021,Railbelt,GVEA Solar Farm,0.563,0,0,0,0,0.563,0,0,,EIA860,Early Release
2021,Southeast,Gustavus,2.2,0,1.4,0.8,0,0,0,2,,EIA860,Early Release
2021,Southeast,Green Lake,18.6,0,0,18.6,0,0,0,0,,EIA860,Early Release
2021,Yukon-Koyukuk/Upper Tanana,Grayling,0.373,0,0.373,0,0,0,0,0,,EIA860,Early Release
2021,Lower Yukon-Kuskokwim,Goodnews Bay,0.642,0,0.642,0,0,0,0,0,,EIA860,Early Release
2021,Bering Straits,Golovin,0.69,0,0.69,0,0,0,0,0,,EIA860,Early Release
2021,Southeast,Gold Creek,9.7,0,8.1,1.6,0,0,0,0,,EIA860,Early Release
2021,Southeast,Goat Lake Hydro,4,0,0,4,0,0,0,0,,EIA860,Early Release
